clue,answer
A soft seat for more than one person,sofa
A large building where goods are made,factory
A colorful arc in the sky after rain,rainbow
A small flying insect that glows at night,firefly
A person who studies the stars,astronomer
A machine that computes data,computer
A musical instrument with six strings,guitar
A fruit that is red on the inside and green on the outside,watermelon
A place where artifacts are kept,museum
A very slow animal with a shell,snail
A type of bread that is round and flat,pizza
A large ship that travels under the sea,submarine
The yellow part of an egg,yolk
A person who travels to space,astronaut
A place where bread is made,bakery
A device used to talk to people far away,telephone
A large cold area at the top of the earth,arctic
A fast animal with spots and a long tail,leopard
A small green animal that hops,frog
A person who cuts hair,barber
A tool for seeing tiny things,microscope
A large black bird often seen in groups,crow
A place where you can see many types of fish,aquarium
A fruit that is yellow and sour,lemon
A device used to heat food quickly,microwave
A person who draws or paints,artist
A long thin pasta,spaghetti
A large animal with a horn on its nose,rhinoceros
A tool used for digging,shovel
A small animal with a bushy tail,squirrel
A place where you go to exercise,gym
A device that shows moving pictures,television
A large area of land covered with trees,forest
A small fruit that is purple or green,grape
A tool for seeing things far away,telescope
A person who works in a library,librarian
A large grey animal that lives in the water,hippo
A device used to clean floors,vacuum
A person who writes news stories,journalist
A long narrow boat,canoe
A small insect that bites and drinks blood,mosquito
A place where you buy medicine,pharmacy
A fruit that is orange and easy to peel,tangerine
A person who performs magic,magician
A large white bear from the north,polarbear
A tool used for measuring temperature,thermometer
A person who fixes cars,mechanic
A small round fruit that is red,cherry
A place where you go to catch a plane,airport
A device used to wash clothes,washer
A person who designs buildings,architect
A long orange vegetable,carrot
A large animal that gives wool,sheep
A place where you go to see a play,theater
A device used to dry hair,dryer
A person who studies the past,historian
A large bird that cannot fly but runs fast,ostrich
A tool used for sewing,needle
A person who helps people with the law,lawyer
A place where you go to mail letters,postoffice
A sweet fruit that grows in clusters,banana
A person who studies plants,botanist
A tool used to tell direction,compass
A large bird with a colorful tail,peacock
A place where you buy bread,bakery
A device used to see at night,flashlight
A small animal with a shell that moves slowly,slug
A person who flies a spacecraft,cosmonaut
A large area of water surrounded by land,lake
A fruit that is fuzzy on the outside,kiwi
A device used to tell time by the sun,sundial
A person who fixes teeth,dentist
A long thin stick used to play pool,cue
A small musical instrument played with the mouth,harmonica
A place where people wait for a bus,busstop
A device used to measure weight,scale
A person who works with wood,carpenter
A large animal that lives in the arctic and has tusks,walrus
A tool used for gripping things,pliers
A small animal that can change color,chameleon
A place where you can see stars and planets,planetarium
A device used to record sound,microphone
A person who studies the weather,meteorologist
A long narrow piece of land,peninsula
A fruit that is small, round, and blue,blueberry
A tool used to look at the stars,telescope
A person who works on a ship,sailor
A large animal with a long neck and spots,giraffe
A device used to clean teeth,toothbrush
A person who writes poetry,poet
A long narrow boat used in Venice,gondola
A small insect that lives in colonies,ant
A place where you can buy coffee,cafe
A fruit that is green on the inside and has black seeds,kiwi
A person who performs in a circus,acrobat
A large white bird with a long neck,swan
A tool used for smoothing wood,plane
A person who studies insects,entomologist
A long thin piece of pasta,linguine
A large animal with a long trunk and tusks,mammoth
A tool used for turning screws,screwdriver
A small animal with a long tail and big ears,kangaroo
A place where you go to see animals,zoo
A device that provides light,lamp
A person who creates clothes,tailor
A very tall plant with a trunk and leaves,tree
A sweet food made from sugar and cocoa,fudge
A large body of water that covers much of the earth,ocean
A colorful bird that can talk,parrot
A tool used for cutting wood,saw
A person who flies a plane,aviator
A very high hill,mountain
A sweet treat made of frozen juice,popsicle
A small animal with a pointed nose and long tail,mouse
A place where you can borrow books,library
A device used to listen to music,headphones
A person who designs gardens,landscaper
A long thin fish that looks like a snake,eel
A tool used for measuring length,ruler
A person who studies the ocean,oceanographer
A large bird that can swim but not fly,penguin
A device used to keep time,clock
A person who writes plays,playwright
A long narrow valley with steep sides,canyon
A fruit that is small and red with seeds on the outside,strawberry
A tool used for looking at very small things,microscope
A person who works in a laboratory,scientist
A large area of flat land,plain
A fruit that is purple and grows on vines,grape
A tool used for picking up food,fork
A person who paints buildings,painter
A large animal that lives in the forest and hibernates,bear
A tool used for cutting grass,mower
A person who studies volcanoes,volcanologist
A long thin pasta,vermicelli
A large animal with two humps,camel
A tool used for digging holes,auger
A small animal that hops and has long ears,rabbit
A place where you go to learn,school
A device that projects images onto a screen,projector
A person who works with stone,mason
A very hot celestial body,sun
A sweet food made of flour and sugar,cake
A large body of salt water,sea
A bird that is active at night,owl
A tool used for cutting hair,clippers
A person who studies the earth,geologist
A very small organism,bacteria
A sweet liquid made by flowers,nectar
A large animal with a single horn,unicorn
A tool used for fastening things,bolt
A person who studies fossils,paleontologist
A long thin pasta,fettuccine
A large animal with a long neck,brontosaurus
A tool used for tightening nuts,wrench
A small animal with a shell that lives in the sea,crab
A place where you go to eat,restaurant
A device that cools the air,fan
A person who works with iron,blacksmith
A very cold season,winter
A sweet food made of fruit and sugar,jam
A large body of moving water,river
A bird that can fly backwards,hummingbird
A tool used for smoothing surfaces,sandpaper
A person who studies the mind,psychologist
